kernel_id,L1_bw_GBs,L2_bw_GBs,HBM_bw_GBs,time_us,f32_GFLOPS,L1_AI,L2_AI,HBM_AI
k1,89.42406982,67.94625459,54.75764599,20.032,19.32044896,0.216,0.284,0.353
k2,7.616915423,16.08955224,6.55721393,6.432,2.025497512,0.266,0.126,0.309
k3,232.9961977,55.09885932,50.07224335,8.416,25.12678232,0.108,0.456,0.502
k4,38.79626551,32.70715561,5.248431305,86.749,0,0.000,0.000,0.000
k5,15.27745665,28.52023121,16.92485549,5.536,1.526372832,0.100,0.054,0.090
k6,5.163851538,17.97461014,6.906792675,11.328,1.187767069,0.230,0.066,0.172
k7,11.14339591,16.35794467,12.6455801,863.191,2.07231056,0.186,0.127,0.164
k8,0.846811246,17.79805055,5.29106885,21.313,0.531743786,0.628,0.030,0.100
k9,0.831894766,15.45642776,4.70964537,21.695,0.522469369,0.628,0.034,0.111
k10,0.493357386,6.816150766,1.917816715,58.116,0.515124166,1.044,0.076,0.269
k11,0.59851476,4.57102288,1.735425609,47.905,0.159711092,0.267,0.035,0.092
k12,0.320106865,4.852334192,0.536250451,89.570,0.039321163,0.123,0.008,0.073
k13,156.7189722,162.6902745,119.1751066,672.931,13.05929616,0.083,0.080,0.110
k14,104.105741,111.4511391,60.5675867,273.199,13.01246359,0.125,0.117,0.215
k15,102.7306298,107.7293546,78.6878622,554.145,17.13205775,0.167,0.159,0.218
k16,0.307058603,6.891683597,1.521585041,46.688,0.094627853,0.308,0.014,0.062
k17,1.912305926,7.555267282,0.750536165,114.777,0,0.000,0.000,0.000
k18,6.219103513,13.2497152,6.562150148,8.675,1.063490677,0.171,0.080,0.162
k19,0.271323608,6.963568841,1.840518847,52.837,0.233301208,0.860,0.034,0.127
k20,147.9021468,154.939727,112.8367556,358.632,37.01448466,0.250,0.239,0.328
k21,68.41364954,75.48015172,39.81146033,52.448,87.79156181,1.283,1.163,2.205
k22,32.06521739,40.79891304,5.701086957,5.888,2.629076087,0.082,0.064,0.461
k23,32.65506514,42.10814465,10.63782327,14.153,12.87617503,0.394,0.306,1.210
k24,0.258064516,9,1.606451613,4.960,0.157258065,0.609,0.017,0.098
k25,5.32381346,10.67087691,7.646122886,368.860,1.048852066,0.197,0.098,0.137
k26,6.072323053,11.14398828,4.450363225,48.672,148.4497582,24.447,13.321,33.357
k27,7.783928278,10.20760961,5.819365354,60.708,135.4141016,17.397,13.266,23.270
k28,65.64842281,57.83526658,40.77082732,405.216,471.526798,7.183,8.153,11.565
k29,21.40747237,19.85783309,26.40524677,1985.825,960.9989869,44.891,48.394,36.394
k30,71.05812306,62.82934882,43.74290381,402.895,439.3322261,6.183,6.992,10.044
k31,3.389735634,8.951191638,5.587550319,76.032,53.60277257,15.813,5.988,9.593
